id;name;description;picture;picture_content_type;video;difficulty;price;unroll_recipe;nb_person;time;season;origin;online;cooking;favorite;created_at;updated_at
1;Shoes Health Handcrafted Rubber Pants;Operative;../fake-data/blob/hipster.png;image/png;SMTP Orchestrator;61533;63619;../fake-data/blob/hipster.txt;87022;98743;deposit back up Health;Rubber;true;Berkshire Salad Cambridgeshire;true;2021-02-08;2021-02-07
2;hybrid open system upward-trending;input;../fake-data/blob/hipster.png;image/png;Generic;99621;84353;../fake-data/blob/hipster.txt;77220;28929;reboot;neural;true;rich;true;2021-02-08;2021-02-07
3;dot-com mobile;Barbados Port quantify;../fake-data/blob/hipster.png;image/png;Vermont;16183;54550;../fake-data/blob/hipster.txt;172;42532;cross-platform;Granite New Hampshire;true;channels Assurance;true;2021-02-08;2021-02-07
4;neural;COM magenta;../fake-data/blob/hipster.png;image/png;back up Sleek Granite Chair;8626;99312;../fake-data/blob/hipster.txt;93830;43568;Utah Architect Indonesia;quantifying;false;Human deploy;false;2021-02-07;2021-02-08
5;SMS Solutions payment;Solutions Pakistan Rupee;../fake-data/blob/hipster.png;image/png;Saint Vincent and the Grenadines;4671;4364;../fake-data/blob/hipster.txt;44555;40955;monitor invoice Tokelau;Decentralized Locks;true;Frozen hard drive;true;2021-02-08;2021-02-08
6;generating dedicated;Bike;../fake-data/blob/hipster.png;image/png;Latvia Home port;12409;48820;../fake-data/blob/hipster.txt;91117;91243;Botswana;Personal Loan Account;true;Marketing;true;2021-02-07;2021-02-08
7;Trail Officer;Frozen synthesizing solid state;../fake-data/blob/hipster.png;image/png;wireless;74835;33978;../fake-data/blob/hipster.txt;64023;5925;back up Accounts;Georgia Central morph;true;leading-edge;true;2021-02-07;2021-02-07
8;azure Vermont;Cambridgeshire Hollow;../fake-data/blob/hipster.png;image/png;morph Louisiana digital;46453;37067;../fake-data/blob/hipster.txt;20015;79294;streamline Cambridgeshire Wooden;Handcrafted Wooden Pants mobile;true;HDD South Dakota Mouse;false;2021-02-08;2021-02-07
9;Open-architected;Web task-force Tokelau;../fake-data/blob/hipster.png;image/png;Mayotte;12392;96570;../fake-data/blob/hipster.txt;24227;81078;back-end Indian Rupee Ngultrum Borders;uniform applications;true;lime Phased;false;2021-02-07;2021-02-08
10;cultivate;Borders Group;../fake-data/blob/hipster.png;image/png;Object-based;48780;71496;../fake-data/blob/hipster.txt;28741;85322;hack Ergonomic Refined Metal Tuna;lavender;true;redundant;false;2021-02-08;2021-02-07
